sub1,sub2,pericenter,p_info,apocenter,a_info
0,23786,0.8696238154329535,"[0.0337243718735154, 0.47568673997729827, 96]",5.8832086947620885,"[0.5985432881875667, 5.879560998381898, 63]"
981,20213,0.12047480709743938,"[0.0585073227945129, 0.8107349565966118, 94]",3.8734571026526727,"[1.035510445664141, 8.088392215223584, 49]"
1582,1583,0.03606043075459227,"[0.3999269646135635, 4.419790659672549, 72]",1.3551303008652318,"[1.035510445664141, 8.088392215223584, 49]"
1907,1909,0.07563046475210014,"[0.0239744283827625, 0.34055098231832176, 97]",1.8952969346516284,"[1.035510445664141, 8.088392215223584, 49]"
1907,25311,0.08692642176321341,"[0.0838844307974793, 1.141683249431023, 92]",3.322621565086174,"[1.035510445664141, 8.088392215223584, 49]"
3575,3576,0.015163433656397479,"[0.1972841823760098, 2.4838249103758403, 84]",1.5236999254232089,"[1.035510445664141, 8.088392215223584, 49]"
4071,11604,0.04415306643369311,"[0.0337243718735154, 0.47568673997729827, 96]",2.495790576217943,"[1.035510445664141, 8.088392215223584, 49]"
6861,37173,0.05455885155584441,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",3.4346997579062415,"[0.8514709006246495, 7.290845704403892, 54]"
7927,24087,0.7754581615856702,"[0.1098699404588254, 1.4683929510920262, 90]",3.7592756938189447,"[1.035510445664141, 8.088392215223584, 49]"
8067,25945,0.10886666684374342,"[0.1972841823760098, 2.4838249103758403, 84]",3.3081938398039763,"[1.035510445664141, 8.088392215223584, 49]"
8717,34176,0.6851646786481209,"[0.0485236299818059, 0.6771998119210367, 95]",4.820901593073408,"[0.7574413726158526, 6.814735559863762, 57]"
9362,30525,0.14404563871950476,"[0.0337243718735154, 0.47568673997729827, 96]",2.8961439974043985,"[1.035510445664141, 8.088392215223584, 49]"
9481,20129,0.7813103993402011,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",3.4350244322839263,"[0.3999269646135635, 4.419790659672549, 72]"
11115,30622,0.0490288744120552,"[0.0239744283827625, 0.34055098231832176, 97]",4.287201752120782,"[0.9230008161779087, 7.620290970031221, 52]"
11739,27801,0.10207909347481861,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",2.8363783201549855,"[1.035510445664141, 8.088392215223584, 49]"
13256,21458,1.0010481892089105,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",3.5566288117647837,"[0.5985432881875667, 5.879560998381898, 63]"
13516,21327,1.0690255335278838,"[2.220446049250313e-16, 3.2095899059701634e-15, 99]",5.103913143895716,"[0.5985432881875667, 5.879560998381898, 63]"
13516,23917,0.2798645676122353,"[0.0736613846564386, 1.0098048567419589, 93]",3.037479454839191,"[0.5985432881875667, 5.879560998381898, 63]"
26384,30564,0.19899231194079547,"[0.0485236299818059, 0.6771998119210367, 95]",3.4701474064497586,"[1.035510445664141, 8.088392215223584, 49]"
26384,34732,0.474707534305033,"[0.2259883862601976, 2.791298438174829, 82]",3.494535224040962,"[1.035510445664141, 8.088392215223584, 49]"
29990,30408,0.26262982125198003,"[0.0585073227945129, 0.8107349565966118, 94]",2.7732418042086038,"[0.3100741201278338, 3.6258376702429413, 77]"
